,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
0,10.626,15.248,0.0,0.0,7.962,0.0,9.428,0.0,9.748,0.0,0.0,8.57,0.0
1,23.858,0.0,0.0,0.0,16.6,0.0,0.72,0.0,18.654,0.0,0.0,3.596,0.0
2,4.12,22.316,0.0,0.0,4.832,0.0,16.096,0.0,9.904,0.0,0.0,16.44,0.0
3,7.044,19.342,0.0,0.0,5.614,0.0,15.276,0.0,9.778,0.0,0.0,16.444,0.0
4,4.928,21.502,0.0,0.0,1.006,0.0,19.91,0.0,7.13,0.0,8.35,19.03,0.0
5,4.928,21.502,0.0,0.0,1.006,0.0,19.91,0.0,7.13,0.0,8.35,19.03,0.0
6,4.938,21.49,0.0,0.0,2.522,0.0,18.39,0.0,9.81,0.0,4.728,16.444,0.0
7,4.772,21.458,0.0,0.0,0.882,0.0,19.894,0.0,6.968,0.0,8.328,18.99,0.0
8,4.794,21.378,0.0,0.0,2.518,0.0,18.258,0.0,9.62,0.0,4.534,16.444,0.0
9,4.938,21.49,0.0,0.0,2.522,0.0,18.39,0.0,9.81,0.0,4.728,16.444,0.0
10,23.858,2.116,0.0,0.0,16.042,0.0,4.618,0.0,23.616,0.0,8.328,2.546,0.0
11,5.102,21.386,0.0,0.0,2.76,0.0,18.262,0.0,9.96,0.0,4.55,16.444,0.0
12,4.772,21.458,0.0,0.0,0.882,0.0,19.894,0.0,6.968,0.0,8.328,18.99,0.0
13,24.032,2.042,0.0,0.0,17.808,0.0,2.996,0.0,26.41,0.0,4.552,0.0,0.0
14,4.928,21.454,0.0,0.0,1.052,0.0,19.854,0.0,9.858,0.0,8.318,16.444,0.0
15,4.772,21.458,0.0,0.0,0.882,0.0,19.894,0.0,6.968,0.0,8.328,18.99,0.0
16,23.88,2.036,0.0,0.0,17.678,0.0,2.982,0.0,26.268,0.0,4.534,0.0,0.0
17,5.086,21.5,0.0,0.0,1.134,0.0,19.936,0.0,7.312,0.0,8.518,19.034,0.0
18,23.88,2.036,0.0,0.0,17.678,0.0,2.982,0.0,26.268,0.0,4.534,0.0,0.0
19,5.086,21.392,0.0,0.0,1.158,0.0,19.826,0.0,9.938,0.0,8.532,16.444,0.0
20,4.928,21.398,0.0,0.0,1.006,0.0,19.868,0.0,7.146,0.0,8.362,19.0,0.0
21,23.88,2.036,0.0,0.0,17.678,0.0,2.982,0.0,26.268,0.0,4.534,0.0,0.0
22,4.928,21.422,0.0,0.0,1.006,0.0,19.856,0.0,7.13,0.0,8.356,18.99,0.0
23,24.026,2.152,0.0,0.0,17.75,0.0,3.114,0.0,26.508,0.0,4.722,0.0,0.0
24,4.928,21.454,0.0,0.0,1.006,0.0,19.9,0.0,7.13,0.0,8.34,19.04,0.0
25,4.94,21.494,0.0,0.0,2.59,0.0,18.39,0.0,9.86,0.0,4.722,16.444,0.0
26,23.858,2.116,0.0,0.0,16.042,0.0,4.618,0.0,23.616,0.0,8.328,2.546,0.0
27,5.1,21.342,0.0,0.0,2.726,0.0,18.25,0.0,9.894,0.0,4.516,16.444,0.0
28,23.858,2.066,0.0,0.0,16.042,0.0,4.62,0.0,23.61,0.0,8.322,2.604,0.0
29,4.942,21.492,0.0,0.0,2.6,0.0,18.38,0.0,9.916,0.0,4.71,16.444,0.0
30,4.928,21.352,0.0,0.0,1.006,0.0,19.816,0.0,6.99,0.0,8.148,19.1,0.0
31,24.026,2.152,0.0,0.0,17.75,0.0,3.114,0.0,26.508,0.0,4.722,0.0,0.0
32,4.928,21.454,0.0,0.0,1.006,0.0,19.9,0.0,7.13,0.0,8.34,19.04,0.0
33,24.032,2.042,0.0,0.0,17.808,0.0,2.996,0.0,26.41,0.0,4.552,0.0,0.0
34,5.086,21.5,0.0,0.0,1.134,0.0,19.936,0.0,7.312,0.0,8.518,19.034,0.0
35,4.788,21.438,0.0,0.0,2.478,0.0,18.3,0.0,6.966,0.0,4.542,19.108,0.0
36,24.032,2.042,0.0,0.0,17.808,0.0,2.996,0.0,26.41,0.0,4.552,0.0,0.0
37,5.104,21.436,0.0,0.0,2.724,0.0,18.294,0.0,7.278,0.0,4.532,19.042,0.0
38,23.874,2.04,0.0,0.0,17.672,0.0,2.992,0.0,26.27,0.0,4.528,0.0,0.0
39,4.942,21.388,0.0,0.0,2.57,0.0,18.288,0.0,7.116,0.0,4.536,18.984,0.0
40,4.946,21.384,0.0,0.0,2.648,0.0,18.272,0.0,9.762,0.0,4.552,16.444,0.0
41,24.014,2.16,0.0,0.0,16.166,0.0,4.634,0.0,23.778,0.0,8.35,2.586,0.0
42,4.944,21.432,0.0,0.0,2.576,0.0,18.294,0.0,7.122,0.0,4.536,19.032,0.0
43,24.026,2.152,0.0,0.0,17.75,0.0,3.114,0.0,26.508,0.0,4.722,0.0,0.0
44,4.942,21.388,0.0,0.0,2.57,0.0,18.288,0.0,7.116,0.0,4.536,18.984,0.0
45,4.946,21.384,0.0,0.0,2.648,0.0,18.272,0.0,9.762,0.0,4.552,16.444,0.0
46,23.876,2.092,0.0,0.0,17.622,0.0,3.018,0.0,23.594,0.0,4.528,2.598,0.0
47,5.104,21.436,0.0,0.0,2.724,0.0,18.294,0.0,7.278,0.0,4.532,19.042,0.0
48,24.032,2.042,0.0,0.0,17.808,0.0,2.996,0.0,26.41,0.0,4.552,0.0,0.0
49,4.942,21.388,0.0,0.0,2.57,0.0,18.288,0.0,7.116,0.0,4.536,18.984,0.0
50,4.946,21.384,0.0,0.0,2.648,0.0,18.272,0.0,9.762,0.0,4.552,16.444,0.0
51,24.03,2.048,0.0,0.0,17.736,0.0,3.014,0.0,23.752,0.0,4.536,2.58,0.0
52,5.1,21.342,0.0,0.0,2.726,0.0,18.25,0.0,9.894,0.0,4.516,16.444,0.0
53,4.788,21.438,0.0,0.0,2.478,0.0,18.3,0.0,6.966,0.0,4.542,19.108,0.0
54,24.026,2.152,0.0,0.0,17.75,0.0,3.114,0.0,26.508,0.0,4.722,0.0,0.0
55,4.942,21.388,0.0,0.0,2.57,0.0,18.288,0.0,7.116,0.0,4.536,18.984,0.0
56,23.874,2.096,0.0,0.0,17.638,0.0,3.024,0.0,23.614,0.0,4.542,2.664,0.0
