,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3
0,5.766,21.366,0.0,0.0,4.394,0.0,17.188,0.0,6.202,0.0,0.0,21.198,0.0
1,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
2,25.966,0.014,0.0,0.0,19.116,0.0,1.588,0.0,20.45,0.0,0.0,5.592,0.0
3,25.898,0.0,0.0,0.0,20.622,0.0,0.042,0.0,23.616,0.0,0.0,2.648,0.0
4,25.898,0.0,0.0,0.0,20.622,0.0,0.042,0.0,23.616,0.0,0.0,2.648,0.0
5,24.142,1.79,0.0,0.0,20.622,0.0,0.042,0.0,23.614,0.0,0.0,2.648,0.0
6,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
7,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
8,24.142,1.79,0.0,0.0,20.622,0.0,0.042,0.0,23.614,0.0,0.0,2.648,0.0
9,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
10,21.19,4.818,0.0,0.0,19.742,0.0,0.904,0.0,26.216,0.0,0.0,0.0,0.0
11,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
12,6.842,19.332,0.0,0.0,5.482,0.0,15.306,0.0,6.974,0.0,0.0,19.118,0.0
13,24.294,1.73,0.0,0.0,20.644,0.0,0.0,0.0,26.206,0.0,0.0,0.0,0.0
14,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
15,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
16,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
17,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
18,6.876,19.332,0.0,0.0,5.494,0.0,15.264,0.0,9.6,0.0,0.0,16.44,0.0
19,24.142,1.79,0.0,0.0,20.622,0.0,0.042,0.0,23.614,0.0,0.0,2.648,0.0
20,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
21,5.214,21.014,0.0,0.0,5.492,0.0,15.262,0.0,9.6,0.0,0.0,16.446,0.0
22,25.898,0.0,0.0,0.0,20.622,0.0,0.042,0.0,23.616,0.0,0.0,2.648,0.0
23,2.108,24.09,0.0,0.0,4.6,0.0,16.114,0.0,9.6,0.0,0.0,16.442,0.0
24,25.898,0.0,0.0,0.0,20.622,0.0,0.042,0.0,23.616,0.0,0.0,2.648,0.0
25,2.108,24.116,0.0,0.0,4.594,0.0,16.18,0.0,6.974,0.0,0.0,19.13,0.0
26,6.876,19.332,0.0,0.0,5.494,0.0,15.264,0.0,9.6,0.0,0.0,16.44,0.0
27,6.842,19.332,0.0,0.0,5.482,0.0,15.306,0.0,6.974,0.0,0.0,19.118,0.0
28,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
29,5.218,21.014,0.0,0.0,5.48,0.0,15.304,0.0,6.974,0.0,0.0,19.116,0.0
30,25.898,0.0,0.0,0.0,20.622,0.0,0.042,0.0,23.616,0.0,0.0,2.648,0.0
31,2.108,24.09,0.0,0.0,4.6,0.0,16.114,0.0,9.6,0.0,0.0,16.442,0.0
32,6.842,19.332,0.0,0.0,5.482,0.0,15.306,0.0,6.974,0.0,0.0,19.118,0.0
33,25.948,0.0,0.0,0.0,20.648,0.0,0.0,0.0,26.208,0.0,0.0,0.0,0.0
34,5.218,21.014,0.0,0.0,5.48,0.0,15.304,0.0,6.974,0.0,0.0,19.116,0.0
35,6.842,19.332,0.0,0.0,5.482,0.0,15.306,0.0,6.974,0.0,0.0,19.118,0.0
